"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Germplasm"	"Treatment"	"Compartment"	"Block"	"Plot"
"3.10"	"Frankiales"	"CK_R1_3"	0.020237773	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.11"	"Polyangiales"	"CK_R1_3"	0.016614962	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.12"	"Corynebacteriales"	"CK_R1_3"	0.020237773	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R1_3"	0.00524683	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.14"	"KD4-96"	"CK_R1_3"	0.041932999	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.15"	"Pseudonocardiales"	"CK_R1_3"	0.033750442	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.16"	"Microtrichales"	"CK_R1_3"	0.00358117	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.17"	"Micrococcales"	"CK_R1_3"	0.022174103	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.18"	"Chitinophagales"	"CK_R1_3"	0.044556414	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.19"	"Gemmatimonadales"	"CK_R1_3"	0.023798122	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.20"	"Sphingomonadales"	"CK_R1_3"	0.019363301	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.21"	"Clostridia"	"CK_R1_3"	0.007141519	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.22"	"Bryobacterales"	"CK_R1_3"	0.013929085	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.23"	"Vicinamibacterales"	"CK_R1_3"	0.061171376	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.24"	"Bacillales"	"CK_R1_3"	0.02456849	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.25"	"Gaiellales"	"CK_R1_3"	0.052010244	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.26"	"Rhizobiales"	"CK_R1_3"	0.075620979	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.27"	"Burkholderiales"	"CK_R1_3"	0.095837931	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.28"	"Pyrinomonadales"	"CK_R1_3"	0.0657103	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"4"	"<0.5%"	"CK_R10_1"	0.02937782	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.1"	"Chthoniobacterales"	"CK_R10_1"	0.002518099	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.2"	"Dongiales"	"CK_R10_1"	0.003882069	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.3"	"Steroidobacterales"	"CK_R10_1"	0.004301752	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.4"	"Paenibacillales"	"CK_R10_1"	0	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.5"	"Solirubrobacterales"	"CK_R10_1"	0.004406673	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.6"	"Xanthomonadales"	"CK_R10_1"	0.002413178	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.7"	"Propionibacteriales"	"CK_R10_1"	0.003042703	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.8"	"Pseudomonadales"	"CK_R10_1"	0.012695415	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.9"	"Chloroflexales"	"CK_R10_1"	0.008393663	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.10"	"Frankiales"	"CK_R10_1"	0.00797398	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.11"	"Polyangiales"	"CK_R10_1"	0.015423355	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.12"	"Corynebacteriales"	"CK_R10_1"	0.00398699	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R10_1"	0.002203336	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.14"	"KD4-96"	"CK_R10_1"	0.005455881	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.15"	"Pseudonocardiales"	"CK_R10_1"	0.008393663	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.16"	"Microtrichales"	"CK_R10_1"	0.007764138	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.17"	"Micrococcales"	"CK_R10_1"	0.014898751	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.18"	"Chitinophagales"	"CK_R10_1"	0.011016682	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.19"	"Gemmatimonadales"	"CK_R10_1"	0.01468891	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
"4.20"	"Sphingomonadales"	"CK_R10_1"	0.012170811	"CK_R10_1"	"X10"	"Landrace"	"CK"	"Root"	1	"P05"
