SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
CK_R43_3	X43	Landrace	CK	Root	3	P11
CK_R44_1	X44	Landrace	CK	Root	1	P08
CK_R44_2	X44	Landrace	CK	Root	2	P08
CK_R44_3	X44	Landrace	CK	Root	3	P08
CK_R45_1	X45	Landrace	CK	Root	1	P05
CK_R45_2	X45	Landrace	CK	Root	2	P05
CK_R45_3	X45	Landrace	CK	Root	3	P05
CK_R46_1	X46	Landrace	CK	Root	1	P14
CK_R46_2	X46	Landrace	CK	Root	2	P14
CK_R46_3	X46	Landrace	CK	Root	3	P14
CK_R47_1	X47	Landrace	CK	Root	1	P05
CK_R47_2	X47	Landrace	CK	Root	2	P05
CK_R47_3	X47	Landrace	CK	Root	3	P05
CK_R48_1	X48	Landrace	CK	Root	1	P14
CK_R48_2	X48	Landrace	CK	Root	2	P14
CK_R48_3	X48	Landrace	CK	Root	3	P14
CK_R49_1	X49	Landrace	CK	Root	1	P05
CK_R49_2	X49	Landrace	CK	Root	2	P05
CK_R49_3	X49	Landrace	CK	Root	3	P05
CK_R5_1	X5	Landrace	CK	Root	1	P08
CK_R5_2	X5	Landrace	CK	Root	2	P08
CK_R5_3	X5	Landrace	CK	Root	3	P08
CK_R50_1	X50	Landrace	CK	Root	1	P05
CK_R50_2	X50	Landrace	CK	Root	2	P05
CK_R50_3	X50	Landrace	CK	Root	3	P05
CK_R51_1	X51	Landrace	CK	Root	1	P14
CK_R51_2	X51	Landrace	CK	Root	2	P14
CK_R51_3	X51	Landrace	CK	Root	3	P14
CK_R52_1	X52	Landrace	CK	Root	1	P08
CK_R52_2	X52	Landrace	CK	Root	2	P08
CK_R52_3	X52	Landrace	CK	Root	3	P08
CK_R53_1	X53	Landrace	CK	Root	1	P11
CK_R53_2	X53	Landrace	CK	Root	2	P11
CK_R53_3	X53	Landrace	CK	Root	3	P11
CK_R54_1	X54	Landrace	CK	Root	1	P08
CK_R54_2	X54	Landrace	CK	Root	2	P08
CK_R54_3	X54	Landrace	CK	Root	3	P08
CK_R55_1	X55	Landrace	CK	Root	1	P05
CK_R55_2	X55	Landrace	CK	Root	2	P05
CK_R55_3	X55	Landrace	CK	Root	3	P05
CK_R56_1	X56	Landrace	CK	Root	1	P05
CK_R56_2	X56	Landrace	CK	Root	2	P05
CK_R56_3	X56	Landrace	CK	Root	3	P05
CK_R57_1	X57	Landrace	CK	Root	1	P05
CK_R57_2	X57	Landrace	CK	Root	2	P05
CK_R57_3	X57	Landrace	CK	Root	3	P05
CK_R58_1	X58	Landrace	CK	Root	1	P14
CK_R58_2	X58	Landrace	CK	Root	2	P14
CK_R58_3	X58	Landrace	CK	Root	3	P14
CK_R59_1	X59	Landrace	CK	Root	1	P08
CK_R59_2	X59	Landrace	CK	Root	2	P08
CK_R59_3	X59	Landrace	CK	Root	3	P08
CK_R6_1	X6	Landrace	CK	Root	1	P14
CK_R6_2	X6	Landrace	CK	Root	2	P14
CK_R6_3	X6	Landrace	CK	Root	3	P14
CK_R60_1	X60	Landrace	CK	Root	1	P08
CK_R60_2	X60	Landrace	CK	Root	2	P08
CK_R60_3	X60	Landrace	CK	Root	3	P08
CK_R61_1	X61	Landrace	CK	Root	1	P05
CK_R61_2	X61	Landrace	CK	Root	2	P05
CK_R61_3	X61	Landrace	CK	Root	3	P05
CK_R62_1	X62	Landrace	CK	Root	1	P14
CK_R62_2	X62	Landrace	CK	Root	2	P14
CK_R62_3	X62	Landrace	CK	Root	3	P14
CK_R63_1	X63	Landrace	CK	Root	1	P11
CK_R63_2	X63	Landrace	CK	Root	2	P11
CK_R63_3	X63	Landrace	CK	Root	3	P11
CK_R64_1	X64	Landrace	CK	Root	1	P11
CK_R64_2	X64	Landrace	CK	Root	2	P11
