"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Microhabitat"	"Description"	"Library"
"9.21"	"Glycomycetales"	"JH15.105"	0.003773585	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.22"	"Sphingobacteriales"	"JH15.105"	0.028113208	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.23"	"Sphingomonadales"	"JH15.105"	0.042924528	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.24"	"Chitinophagales"	"JH15.105"	0.02245283	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.25"	"Streptomycetales"	"JH15.105"	0.053679245	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.26"	"Xanthomonadales"	"JH15.105"	0.033584906	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.27"	"Rhizobiales"	"JH15.105"	0.129245283	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.28"	"Burkholderiales"	"JH15.105"	0.378773585	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"18"	"<0.5%"	"JH15.108"	0.041792453	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.1"	"Frankiales"	"JH15.108"	0.008962264	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.2"	"Rokubacteriales"	"JH15.108"	0.001603774	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.3"	"Pyrinomonadales"	"JH15.108"	0.001981132	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.4"	"Acidobacteriales"	"JH15.108"	0.009339623	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.5"	"Subgroup_7"	"JH15.108"	0.002830189	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.6"	"Pseudomonadales"	"JH15.108"	0	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.7"	"Solirubrobacterales"	"JH15.108"	0.014150943	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.8"	"Pseudonocardiales"	"JH15.108"	0.026037736	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.9"	"Tepidisphaerales"	"JH15.108"	0.008396226	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.10"	"Caulobacterales"	"JH15.108"	0.010849057	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.11"	"Nitrososphaerales"	"JH15.108"	0.002264151	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.12"	"Micropepsales"	"JH15.108"	0.023584906	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.13"	"Gaiellales"	"JH15.108"	0.02	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.14"	"Paenibacillales"	"JH15.108"	0.017924528	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"18.15"	"Pedosphaerales"	"JH15.108"	0.011981132	"JH15.108"	"52"	"RHIZO"	"B124.HID2"	"JH15"
