"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Microhabitat"	"Description"	"Library"
"33.6"	"Pseudomonadales"	"HvHEB155"	0.003584906	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.7"	"Solirubrobacterales"	"HvHEB155"	0.006603774	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.8"	"Pseudonocardiales"	"HvHEB155"	0.003962264	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.9"	"Tepidisphaerales"	"HvHEB155"	0.008490566	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.10"	"Caulobacterales"	"HvHEB155"	0.008773585	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.11"	"Nitrososphaerales"	"HvHEB155"	0.013867925	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.12"	"Micropepsales"	"HvHEB155"	0.002735849	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.13"	"Gaiellales"	"HvHEB155"	0.011132075	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.14"	"Paenibacillales"	"HvHEB155"	0.010471698	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.15"	"Pedosphaerales"	"HvHEB155"	0.010849057	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.16"	"Gemmatimonadales"	"HvHEB155"	0.014433962	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.17"	"Chthoniobacterales"	"HvHEB155"	0.015849057	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.18"	"Vicinamibacterales"	"HvHEB155"	0.026603774	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.19"	"Propionibacteriales"	"HvHEB155"	0.025283019	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.20"	"Micrococcales"	"HvHEB155"	0.018490566	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.21"	"Glycomycetales"	"HvHEB155"	0.060943396	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.22"	"Sphingobacteriales"	"HvHEB155"	0.027075472	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.23"	"Sphingomonadales"	"HvHEB155"	0.045943396	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.24"	"Chitinophagales"	"HvHEB155"	0.059433962	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.25"	"Streptomycetales"	"HvHEB155"	0.137264151	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.26"	"Xanthomonadales"	"HvHEB155"	0.07009434	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.27"	"Rhizobiales"	"HvHEB155"	0.077264151	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"33.28"	"Burkholderiales"	"HvHEB155"	0.192924528	"HvHEB155"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32"	"<0.5%"	"HvHEB156"	0.06745283	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.1"	"Frankiales"	"HvHEB156"	0.003679245	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.2"	"Rokubacteriales"	"HvHEB156"	0.010377358	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.3"	"Pyrinomonadales"	"HvHEB156"	0.011037736	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.4"	"Acidobacteriales"	"HvHEB156"	0.000754717	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.5"	"Subgroup_7"	"HvHEB156"	0.012735849	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.6"	"Pseudomonadales"	"HvHEB156"	0.011320755	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.7"	"Solirubrobacterales"	"HvHEB156"	0.009433962	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.8"	"Pseudonocardiales"	"HvHEB156"	0.003584906	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.9"	"Tepidisphaerales"	"HvHEB156"	0.008018868	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.10"	"Caulobacterales"	"HvHEB156"	0.008301887	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.11"	"Nitrososphaerales"	"HvHEB156"	0.019339623	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.12"	"Micropepsales"	"HvHEB156"	0.002924528	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.13"	"Gaiellales"	"HvHEB156"	0.01254717	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.14"	"Paenibacillales"	"HvHEB156"	0.013679245	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.15"	"Pedosphaerales"	"HvHEB156"	0.011415094	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.16"	"Gemmatimonadales"	"HvHEB156"	0.012641509	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.17"	"Chthoniobacterales"	"HvHEB156"	0.023679245	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.18"	"Vicinamibacterales"	"HvHEB156"	0.038584906	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.19"	"Propionibacteriales"	"HvHEB156"	0.023018868	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.20"	"Micrococcales"	"HvHEB156"	0.027075472	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.21"	"Glycomycetales"	"HvHEB156"	0.063962264	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.22"	"Sphingobacteriales"	"HvHEB156"	0.040754717	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.23"	"Sphingomonadales"	"HvHEB156"	0.030377358	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.24"	"Chitinophagales"	"HvHEB156"	0.061981132	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.25"	"Streptomycetales"	"HvHEB156"	0.12990566	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.26"	"Xanthomonadales"	"HvHEB156"	0.07009434	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.27"	"Rhizobiales"	"HvHEB156"	0.081037736	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"32.28"	"Burkholderiales"	"HvHEB156"	0.121320755	"HvHEB156"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34"	"<0.5%"	"HvHEB157"	0.069150943	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.1"	"Frankiales"	"HvHEB157"	0.005943396	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.2"	"Rokubacteriales"	"HvHEB157"	0.006509434	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.3"	"Pyrinomonadales"	"HvHEB157"	0.008113208	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.4"	"Acidobacteriales"	"HvHEB157"	0.000377358	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.5"	"Subgroup_7"	"HvHEB157"	0.010471698	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.6"	"Pseudomonadales"	"HvHEB157"	0.006886792	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.7"	"Solirubrobacterales"	"HvHEB157"	0.00490566	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.8"	"Pseudonocardiales"	"HvHEB157"	0.005660377	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.9"	"Tepidisphaerales"	"HvHEB157"	0.006320755	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.10"	"Caulobacterales"	"HvHEB157"	0.006509434	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.11"	"Nitrososphaerales"	"HvHEB157"	0.013301887	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.12"	"Micropepsales"	"HvHEB157"	0.001509434	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.13"	"Gaiellales"	"HvHEB157"	0.011320755	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.14"	"Paenibacillales"	"HvHEB157"	0.018679245	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.15"	"Pedosphaerales"	"HvHEB157"	0.010188679	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.16"	"Gemmatimonadales"	"HvHEB157"	0.015754717	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.17"	"Chthoniobacterales"	"HvHEB157"	0.014433962	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.18"	"Vicinamibacterales"	"HvHEB157"	0.024056604	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.19"	"Propionibacteriales"	"HvHEB157"	0.028396226	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.20"	"Micrococcales"	"HvHEB157"	0.02509434	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.21"	"Glycomycetales"	"HvHEB157"	0.044339623	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.22"	"Sphingobacteriales"	"HvHEB157"	0.035849057	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.23"	"Sphingomonadales"	"HvHEB157"	0.033301887	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.24"	"Chitinophagales"	"HvHEB157"	0.062924528	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.25"	"Streptomycetales"	"HvHEB157"	0.130283019	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.26"	"Xanthomonadales"	"HvHEB157"	0.065	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.27"	"Rhizobiales"	"HvHEB157"	0.082735849	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"34.28"	"Burkholderiales"	"HvHEB157"	0.197169811	"HvHEB157"	"Barke"	"RHIZO"	"BARKE"	"JH07"
"86"	"<0.5%"	"HvHEB163"	0.054716981	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.1"	"Frankiales"	"HvHEB163"	0.003301887	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.2"	"Rokubacteriales"	"HvHEB163"	0.010660377	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.3"	"Pyrinomonadales"	"HvHEB163"	0.006320755	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.4"	"Acidobacteriales"	"HvHEB163"	0.001603774	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.5"	"Subgroup_7"	"HvHEB163"	0.010566038	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.6"	"Pseudomonadales"	"HvHEB163"	0.003113208	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.7"	"Solirubrobacterales"	"HvHEB163"	0.005188679	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.8"	"Pseudonocardiales"	"HvHEB163"	0.004245283	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.9"	"Tepidisphaerales"	"HvHEB163"	0.005754717	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.10"	"Caulobacterales"	"HvHEB163"	0.01254717	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.11"	"Nitrososphaerales"	"HvHEB163"	0.02	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.12"	"Micropepsales"	"HvHEB163"	0.003584906	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.13"	"Gaiellales"	"HvHEB163"	0.008867925	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.14"	"Paenibacillales"	"HvHEB163"	0.01490566	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.15"	"Pedosphaerales"	"HvHEB163"	0.008584906	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.16"	"Gemmatimonadales"	"HvHEB163"	0.010943396	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.17"	"Chthoniobacterales"	"HvHEB163"	0.02254717	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.18"	"Vicinamibacterales"	"HvHEB163"	0.038396226	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.19"	"Propionibacteriales"	"HvHEB163"	0.017735849	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.20"	"Micrococcales"	"HvHEB163"	0.00990566	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.21"	"Glycomycetales"	"HvHEB163"	0.195471698	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.22"	"Sphingobacteriales"	"HvHEB163"	0.009433962	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.23"	"Sphingomonadales"	"HvHEB163"	0.02254717	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.24"	"Chitinophagales"	"HvHEB163"	0.044339623	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.25"	"Streptomycetales"	"HvHEB163"	0.133396226	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.26"	"Xanthomonadales"	"HvHEB163"	0.071320755	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.27"	"Rhizobiales"	"HvHEB163"	0.10745283	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"86.28"	"Burkholderiales"	"HvHEB163"	0.083396226	"HvHEB163"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87"	"<0.5%"	"HvHEB164"	0.082830189	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.1"	"Frankiales"	"HvHEB164"	0.003490566	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.2"	"Rokubacteriales"	"HvHEB164"	0.020566038	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.3"	"Pyrinomonadales"	"HvHEB164"	0.006415094	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.4"	"Acidobacteriales"	"HvHEB164"	0.000377358	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.5"	"Subgroup_7"	"HvHEB164"	0.016509434	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.6"	"Pseudomonadales"	"HvHEB164"	0.010943396	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.7"	"Solirubrobacterales"	"HvHEB164"	0.008773585	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.8"	"Pseudonocardiales"	"HvHEB164"	0.002830189	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.9"	"Tepidisphaerales"	"HvHEB164"	0.011792453	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.10"	"Caulobacterales"	"HvHEB164"	0.009622642	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.11"	"Nitrososphaerales"	"HvHEB164"	0.03754717	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.12"	"Micropepsales"	"HvHEB164"	0.003301887	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.13"	"Gaiellales"	"HvHEB164"	0.009528302	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.14"	"Paenibacillales"	"HvHEB164"	0.024150943	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.15"	"Pedosphaerales"	"HvHEB164"	0.019716981	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.16"	"Gemmatimonadales"	"HvHEB164"	0.025849057	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.17"	"Chthoniobacterales"	"HvHEB164"	0.018584906	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.18"	"Vicinamibacterales"	"HvHEB164"	0.043490566	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.19"	"Propionibacteriales"	"HvHEB164"	0.017169811	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.20"	"Micrococcales"	"HvHEB164"	0.024716981	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.21"	"Glycomycetales"	"HvHEB164"	0.103301887	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.22"	"Sphingobacteriales"	"HvHEB164"	0.009716981	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.23"	"Sphingomonadales"	"HvHEB164"	0.021603774	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.24"	"Chitinophagales"	"HvHEB164"	0.038301887	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.25"	"Streptomycetales"	"HvHEB164"	0.081698113	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.26"	"Xanthomonadales"	"HvHEB164"	0.057358491	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.27"	"Rhizobiales"	"HvHEB164"	0.064056604	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"87.28"	"Burkholderiales"	"HvHEB164"	0.110566038	"HvHEB164"	"HB142"	"RHIZO"	"BC1S3"	"JH07"
"132"	"<0.5%"	"HvHEB166"	0.074245283	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.1"	"Frankiales"	"HvHEB166"	0.008490566	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.2"	"Rokubacteriales"	"HvHEB166"	0.009056604	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.3"	"Pyrinomonadales"	"HvHEB166"	0.007641509	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.4"	"Acidobacteriales"	"HvHEB166"	0.001226415	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.5"	"Subgroup_7"	"HvHEB166"	0.009339623	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.6"	"Pseudomonadales"	"HvHEB166"	0.002924528	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.7"	"Solirubrobacterales"	"HvHEB166"	0.016698113	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.8"	"Pseudonocardiales"	"HvHEB166"	0.003773585	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.9"	"Tepidisphaerales"	"HvHEB166"	0.009622642	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.10"	"Caulobacterales"	"HvHEB166"	0.005471698	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.11"	"Nitrososphaerales"	"HvHEB166"	0.016037736	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.12"	"Micropepsales"	"HvHEB166"	0.001320755	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.13"	"Gaiellales"	"HvHEB166"	0.027358491	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.14"	"Paenibacillales"	"HvHEB166"	0.01245283	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.15"	"Pedosphaerales"	"HvHEB166"	0.011226415	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.16"	"Gemmatimonadales"	"HvHEB166"	0.015849057	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.17"	"Chthoniobacterales"	"HvHEB166"	0.025283019	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.18"	"Vicinamibacterales"	"HvHEB166"	0.040660377	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.19"	"Propionibacteriales"	"HvHEB166"	0.04254717	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.20"	"Micrococcales"	"HvHEB166"	0.037169811	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.21"	"Glycomycetales"	"HvHEB166"	0.074716981	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.22"	"Sphingobacteriales"	"HvHEB166"	0.024528302	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.23"	"Sphingomonadales"	"HvHEB166"	0.027735849	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.24"	"Chitinophagales"	"HvHEB166"	0.034150943	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.25"	"Streptomycetales"	"HvHEB166"	0.088207547	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.26"	"Xanthomonadales"	"HvHEB166"	0.046792453	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.27"	"Rhizobiales"	"HvHEB166"	0.093962264	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"132.28"	"Burkholderiales"	"HvHEB166"	0.139245283	"HvHEB166"	"HB64"	"RHIZO"	"BC1S3"	"JH07"
"143"	"<0.5%"	"HvHEB168"	0.05990566	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.1"	"Frankiales"	"HvHEB168"	0.002924528	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.2"	"Rokubacteriales"	"HvHEB168"	0.006886792	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.3"	"Pyrinomonadales"	"HvHEB168"	0.008773585	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.4"	"Acidobacteriales"	"HvHEB168"	0.000471698	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.5"	"Subgroup_7"	"HvHEB168"	0.009811321	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.6"	"Pseudomonadales"	"HvHEB168"	0.003490566	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.7"	"Solirubrobacterales"	"HvHEB168"	0.005660377	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.8"	"Pseudonocardiales"	"HvHEB168"	0.003113208	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.9"	"Tepidisphaerales"	"HvHEB168"	0.008207547	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.10"	"Caulobacterales"	"HvHEB168"	0.038584906	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.11"	"Nitrososphaerales"	"HvHEB168"	0.016981132	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.12"	"Micropepsales"	"HvHEB168"	0.00245283	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.13"	"Gaiellales"	"HvHEB168"	0.009716981	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.14"	"Paenibacillales"	"HvHEB168"	0.013867925	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.15"	"Pedosphaerales"	"HvHEB168"	0.006603774	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.16"	"Gemmatimonadales"	"HvHEB168"	0.00509434	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.17"	"Chthoniobacterales"	"HvHEB168"	0.020754717	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.18"	"Vicinamibacterales"	"HvHEB168"	0.039150943	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.19"	"Propionibacteriales"	"HvHEB168"	0.031415094	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.20"	"Micrococcales"	"HvHEB168"	0.025377358	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.21"	"Glycomycetales"	"HvHEB168"	0.03009434	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.22"	"Sphingobacteriales"	"HvHEB168"	0.029245283	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.23"	"Sphingomonadales"	"HvHEB168"	0.044245283	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.24"	"Chitinophagales"	"HvHEB168"	0.03745283	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.25"	"Streptomycetales"	"HvHEB168"	0.091226415	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.26"	"Xanthomonadales"	"HvHEB168"	0.104622642	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.27"	"Rhizobiales"	"HvHEB168"	0.113490566	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"143.28"	"Burkholderiales"	"HvHEB168"	0.178396226	"HvHEB168"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"144"	"<0.5%"	"HvHEB169"	0.052830189	"HvHEB169"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"144.1"	"Frankiales"	"HvHEB169"	0.003867925	"HvHEB169"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"144.2"	"Rokubacteriales"	"HvHEB169"	0.005377358	"HvHEB169"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"144.3"	"Pyrinomonadales"	"HvHEB169"	0.007641509	"HvHEB169"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"144.4"	"Acidobacteriales"	"HvHEB169"	0.000471698	"HvHEB169"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"144.5"	"Subgroup_7"	"HvHEB169"	0.011603774	"HvHEB169"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
"144.6"	"Pseudomonadales"	"HvHEB169"	0.006886792	"HvHEB169"	"HB86"	"RHIZO"	"BC1S3"	"JH07"
